customer_id,age,income,credit_score,months_on_book,current_limit,avg_monthly_spend,utilization_rate,num_late_payments_12m,debt_to_income,num_credit_inquiries_6m,employment_status,account_type,limit_increase_treatment,spend_change_pct,defaulted_next_12m
CUST_000038,24.0,788462.17,621.0,81,48960.77,16772.09,0.343,1,0.153,1,employed,student,1,16.47,0
CUST_000039,42.0,861580.07,775.0,104,61103.7,22250.15,0.364,0,0.355,1,unemployed,standard,0,8.62,0
CUST_000040,49.0,1844339.22,706.0,10,47927.46,16006.67,0.334,0,0.22,1,employed,standard,0,13.42,0
CUST_000041,42.0,332922.59,537.0,206,39261.16,18966.17,0.483,0,0.484,0,employed,standard,0,19.98,0
CUST_000042,39.0,305708.71,755.0,60,27173.96,3697.19,0.136,0,0.244,0,employed,standard,1,29.86,0
CUST_000043,36.0,820476.29,674.0,169,48877.52,12077.65,0.247,2,0.086,1,employed,student,1,23.23,0
CUST_000044,22.0,513050.68,772.0,207,102404.35,5646.78,0.055,2,0.422,1,employed,standard,1,28.51,0
CUST_000045,31.0,383259.39,644.0,81,28245.16,10600.76,0.375,0,0.258,2,employed,standard,1,45.09,0
CUST_000046,34.0,525889.76,657.0,231,80948.19,6933.26,0.086,1,0.294,1,retired,standard,1,24.06,0
CUST_000047,53.0,452139.2,727.0,33,70070.9,22593.02,0.322,1,0.277,0,self_employed,standard,1,39.05,0
CUST_000048,44.0,1297759.25,579.0,125,20825.78,5208.45,0.25,1,0.182,1,employed,premium,0,10.6,0
CUST_000049,19.0,1652525.92,638.0,96,66453.67,17890.38,0.269,0,0.08,1,employed,standard,1,31.03,0
CUST_000050,44.0,286071.6,589.0,218,49467.25,18469.9,0.373,2,0.091,1,employed,standard,0,12.36,0
CUST_000051,35.0,307291.79,621.0,82,47017.44,19817.67,0.421,2,0.23,1,employed,standard,0,-1.37,0
CUST_000052,32.0,424337.5,778.0,96,133000.38,32662.65,0.246,0,0.211,2,self_employed,premium,0,6.88,0
CUST_000053,47.0,437885.34,622.0,201,78484.89,11889.17,0.151,0,0.146,0,retired,student,1,31.95,0
CUST_000054,52.0,421313.63,635.0,6,30820.57,14851.92,0.482,0,0.098,0,self_employed,premium,1,23.44,0
CUST_000055,51.0,547213.67,511.0,76,67499.02,12406.45,0.184,0,0.025,1,employed,student,0,8.91,0
CUST_000056,30.0,488416.76,641.0,190,30994.89,3063.32,0.099,1,0.003,2,employed,standard,0,7.64,0
CUST_000057,36.0,324770.59,495.0,52,31654.2,3915.24,0.124,1,0.182,0,employed,standard,0,8.12,0
CUST_000058,44.0,376222.61,698.0,210,53114.39,16347.06,0.308,0,0.026,1,unemployed,standard,1,20.89,0
CUST_000059,52.0,1197626.78,727.0,151,88155.6,14389.18,0.163,0,0.302,1,employed,standard,0,-10.01,0
CUST_000060,34.0,508463.28,707.0,91,23303.72,6460.35,0.277,0,0.085,1,employed,student,1,21.07,0
CUST_000061,38.0,496886.1,589.0,128,38105.17,15137.08,0.397,1,0.161,0,unemployed,standard,1,17.79,0
CUST_000062,27.0,301282.39,676.0,191,88248.95,23829.29,0.27,0,0.237,3,employed,student,0,16.98,0
CUST_000063,26.0,484829.46,706.0,192,30625.39,5378.32,0.176,0,0.442,1,employed,student,0,0.24,0
CUST_000064,50.0,920255.01,657.0,70,49796.54,26592.98,0.534,2,0.069,1,employed,standard,0,11.1,0
CUST_000065,56.0,780740.55,602.0,108,41968.32,14458.62,0.345,0,0.099,1,employed,standard,1,26.21,0
CUST_000066,39.0,860264.07,737.0,120,92806.19,19791.62,0.213,1,0.229,0,employed,standard,1,20.21,0
CUST_000067,52.0,347451.83,607.0,52,57493.21,9538.91,0.166,0,0.16,1,self_employed,standard,1,23.26,0
CUST_000068,44.0,344955.96,708.0,215,42219.66,23405.59,0.554,0,0.32,2,employed,standard,0,-1.13,0
CUST_000069,32.0,994550.42,681.0,7,32263.74,14204.83,0.44,2,0.426,0,retired,standard,1,35.31,0
CUST_000070,44.0,866158.64,769.0,58,140440.02,38605.21,0.275,0,0.11,1,self_employed,standard,1,6.97,0
CUST_000071,58.0,531624.0,818.0,165,47198.65,5497.74,0.116,0,0.117,1,self_employed,student,0,-6.46,0
CUST_000072,40.0,876654.4,646.0,112,43776.65,13519.43,0.309,0,0.432,1,employed,standard,0,11.04,0
CUST_000073,59.0,347545.76,609.0,201,62923.91,31284.95,0.497,0,0.304,0,employed,standard,1,24.54,0
CUST_000074,18.0,341119.92,688.0,92,70223.15,57143.23,0.814,0,0.244,2,employed,premium,1,15.5,0
CUST_000075,50.0,288411.19,682.0,225,24341.96,7918.12,0.325,0,0.091,0,employed,premium,0,3.06,0
CUST_000076,41.0,702683.39,717.0,103,44578.16,5588.1,0.125,0,0.217,0,retired,standard,1,22.59,0
CUST_000077,36.0,658370.45,634.0,139,28676.39,8729.83,0.304,2,0.289,2,retired,standard,1,27.44,0
CUST_000078,41.0,472084.17,635.0,1,36965.08,24156.53,0.653,1,0.509,0,retired,standard,1,28.2,0
CUST_000079,18.0,420341.74,674.0,51,92664.9,25008.24,0.27,1,0.342,0,employed,standard,0,-13.76,0
CUST_000080,37.0,1770100.48,698.0,210,87265.57,25029.06,0.287,0,0.236,3,employed,standard,0,4.33,0
CUST_000081,44.0,531464.17,612.0,32,65801.97,18026.69,0.274,0,0.104,1,unemployed,premium,1,32.41,0
CUST_000082,58.0,1115295.73,672.0,29,24279.38,12365.65,0.509,0,0.476,2,employed,standard,1,36.32,0
CUST_000083,34.0,559133.31,675.0,31,53817.35,12620.13,0.234,0,0.364,1,employed,standard,1,27.33,0
CUST_000084,30.0,476717.47,719.0,235,36761.26,13955.13,0.38,0,0.146,1,retired,standard,1,19.31,0
CUST_000085,34.0,1129738.54,675.0,140,80495.5,11907.86,0.148,1,0.356,2,employed,standard,1,32.69,0
CUST_000086,51.0,852121.03,750.0,75,36986.68,17235.24,0.466,0,0.129,1,employed,standard,1,20.18,0
CUST_000087,44.0,590751.62,719.0,57,32402.31,9771.02,0.302,0,0.333,1,employed,standard,1,32.6,0
CUST_000088,34.0,994675.02,573.0,8,58708.23,19601.21,0.334,0,0.473,0,retired,standard,1,46.22,0
CUST_000089,46.0,1856378.18,666.0,176,89926.86,20868.12,0.232,0,0.16,2,employed,premium,1,20.24,0
CUST_000090,41.0,429527.47,750.0,118,83614.23,8107.27,0.097,1,0.101,0,employed,standard,1,15.19,0
CUST_000091,52.0,738429.93,624.0,153,93866.99,49497.62,0.527,1,0.077,4,employed,standard,0,4.22,0
CUST_000092,32.0,496756.59,696.0,27,94299.34,52308.28,0.555,2,0.149,1,employed,premium,1,25.93,0
CUST_000093,36.0,392172.29,703.0,204,110894.59,37101.53,0.335,0,0.052,2,self_employed,standard,1,7.62,0
CUST_000094,35.0,387309.71,689.0,81,53654.07,17448.11,0.325,0,0.203,2,employed,standard,1,18.05,0
CUST_000095,22.0,1222672.89,657.0,173,39249.16,4222.29,0.108,3,0.087,2,retired,standard,1,31.0,0
CUST_000096,44.0,262723.58,683.0,210,32443.3,10670.43,0.329,0,0.086,2,retired,student,0,14.11,0
CUST_000097,43.0,750531.36,646.0,108,89084.9,4989.39,0.056,1,0.208,0,employed,standard,0,7.33,0
CUST_000098,40.0,411943.14,637.0,24,44969.6,17286.83,0.384,0,0.074,1,unemployed,student,0,1.04,0
CUST_000099,37.0,1325927.44,735.0,110,31102.9,3195.04,0.103,0,0.113,2,retired,premium,1,28.5,0
CUST_000100,23.0,528139.38,662.0,229,63659.84,9794.86,0.154,0,0.251,0,employed,premium,1,49.41,0
CUST_000101,35.0,506964.65,822.0,110,23772.97,5266.27,0.222,1,0.321,2,employed,premium,1,15.47,0
CUST_000102,36.0,1210179.42,592.0,73,28565.84,8775.66,0.307,3,0.266,0,retired,standard,0,-1.91,0
CUST_000103,30.0,886077.8,688.0,128,54647.64,26365.01,0.482,0,0.182,2,employed,standard,1,21.81,0
CUST_000104,38.0,766356.04,631.0,20,76192.13,26785.81,0.352,2,0.173,0,retired,standard,0,14.96,0
CUST_000105,45.0,858219.68,726.0,79,41545.19,7127.71,0.172,0,0.354,4,self_employed,standard,0,-3.65,0
CUST_000106,63.0,366783.45,612.0,26,43640.76,28676.13,0.657,0,0.305,2,self_employed,student,0,7.85,0
CUST_000107,42.0,833818.43,747.0,67,72643.66,11158.66,0.154,1,0.237,2,retired,premium,1,31.51,0
CUST_000108,43.0,546028.04,725.0,22,74199.82,17582.24,0.237,0,0.216,0,employed,student,1,17.63,0
CUST_000109,39.0,702510.84,617.0,202,17372.02,1443.16,0.083,0,0.221,2,self_employed,premium,1,27.72,0
CUST_000110,18.0,742701.0,659.0,233,102905.36,31902.5,0.31,0,0.352,0,self_employed,standard,1,33.1,0
CUST_000111,40.0,362315.59,707.0,102,41624.71,12198.85,0.293,0,0.394,0,employed,standard,0,14.66,1
CUST_000112,41.0,780133.37,737.0,80,33749.63,8979.96,0.266,0,0.116,1,employed,standard,1,27.91,0
CUST_000113,70.0,549156.76,716.0,108,38785.55,2504.18,0.065,0,0.116,2,employed,standard,1,24.7,0
CUST_000114,38.0,341818.56,667.0,75,24777.24,11679.93,0.471,0,0.23,0,unemployed,standard,1,20.88,0
CUST_000115,44.0,559078.62,806.0,152,175180.2,78389.87,0.447,3,0.124,1,employed,standard,1,19.07,0
CUST_000116,40.0,602601.44,752.0,94,25524.73,9641.63,0.378,0,0.084,0,self_employed,standard,0,2.18,0
CUST_000117,26.0,780066.42,623.0,38,23171.19,5985.73,0.258,1,0.281,0,employed,standard,1,25.15,0
CUST_000118,54.0,203876.36,682.0,226,43010.49,6693.27,0.156,1,0.178,4,self_employed,student,1,25.54,0
CUST_000119,49.0,711166.11,803.0,103,24589.37,15541.34,0.632,1,0.151,2,employed,student,1,46.05,0
CUST_000120,49.0,474332.09,704.0,55,52104.6,31812.64,0.611,0,0.26,3,employed,standard,1,25.4,0
CUST_000121,29.0,859789.65,682.0,105,111397.49,73274.43,0.658,2,0.466,0,employed,premium,1,35.76,0
CUST_000122,57.0,596694.32,656.0,232,53242.11,6276.01,0.118,0,0.1,1,employed,standard,1,24.53,0
CUST_000123,23.0,513999.89,614.0,48,58070.67,14252.45,0.245,0,0.073,2,employed,premium,0,1.66,0
CUST_000124,47.0,551349.85,675.0,119,42383.79,10563.0,0.249,0,0.21,0,employed,premium,0,-12.79,0
CUST_000125,66.0,693866.17,672.0,193,29129.37,11297.15,0.388,1,0.308,2,self_employed,standard,1,31.58,1
CUST_000126,28.0,898569.41,591.0,223,42355.23,18375.56,0.434,0,0.389,0,employed,standard,1,41.98,0
CUST_000127,33.0,399912.05,628.0,196,83058.98,22136.29,0.267,1,0.194,3,retired,standard,0,-1.09,0
CUST_000128,41.0,511627.99,737.0,48,96641.02,37084.34,0.384,1,0.131,0,employed,standard,1,25.44,0
CUST_000129,34.0,1156843.49,609.0,233,50051.39,4230.44,0.085,0,0.444,1,employed,standard,1,39.17,0
CUST_000130,21.0,507625.75,668.0,113,76019.79,7043.66,0.093,1,0.478,1,employed,standard,0,2.82,0
CUST_000131,41.0,704513.22,708.0,199,33276.39,14455.58,0.434,1,0.154,0,unemployed,student,1,12.23,0
CUST_000132,27.0,342701.0,711.0,224,36040.5,12635.49,0.351,0,0.188,1,employed,standard,1,33.29,0
CUST_000133,46.0,276087.11,774.0,55,22026.42,9313.26,0.423,1,0.287,0,employed,student,0,17.61,0
CUST_000134,29.0,373961.38,661.0,127,85354.14,30675.89,0.359,0,0.4,1,retired,student,0,-4.45,0
CUST_000135,59.0,437813.62,681.0,228,36754.22,7474.49,0.203,0,0.394,1,employed,standard,0,0.01,0
CUST_000136,31.0,953562.28,784.0,167,25235.61,1874.55,0.074,1,0.217,3,employed,standard,0,-3.96,0
CUST_000137,36.0,1001777.84,642.0,56,62989.74,7761.64,0.123,1,0.14,1,employed,standard,0,4.05,0
CUST_000138,50.0,251099.83,679.0,181,95959.45,17011.79,0.177,1,0.048,2,employed,standard,0,-1.13,0
CUST_000139,25.0,468101.15,687.0,190,40717.61,12182.11,0.299,0,0.515,0,employed,standard,1,29.9,0
CUST_000140,43.0,817499.22,672.0,64,20220.64,7128.84,0.353,1,0.37,0,employed,standard,1,35.88,0
CUST_000141,56.0,569543.87,740.0,73,41691.3,7400.77,0.178,1,0.177,0,employed,standard,0,-0.33,0
CUST_000142,21.0,1175320.35,537.0,224,55245.06,7611.78,0.138,1,0.14,0,employed,standard,0,-1.96,0
CUST_000143,42.0,808612.77,652.0,80,66018.95,41577.67,0.63,0,0.03,2,retired,student,1,27.44,0
CUST_000144,43.0,529422.31,723.0,4,72285.37,7587.39,0.105,0,0.229,1,self_employed,standard,0,4.91,0
CUST_000145,49.0,551059.89,626.0,154,50917.72,18490.56,0.363,0,0.213,0,employed,premium,0,3.44,0
CUST_000146,25.0,582127.38,632.0,48,43073.49,11208.83,0.26,2,0.152,2,employed,student,0,7.25,0
CUST_000147,24.0,408121.08,656.0,203,69066.99,14730.53,0.213,0,0.141,1,employed,standard,1,28.26,0
CUST_000148,46.0,911317.25,768.0,186,25296.76,6882.7,0.272,0,0.373,1,unemployed,premium,1,21.58,0
CUST_000149,44.0,834086.98,693.0,5,30200.08,14225.66,0.471,0,0.367,0,self_employed,standard,1,24.85,0
CUST_000150,43.0,732648.88,671.0,48,34078.27,27852.69,0.817,0,0.097,1,employed,standard,1,10.69,0
CUST_000151,44.0,666075.7,610.0,66,39304.26,6340.88,0.161,0,0.426,2,self_employed,premium,1,32.19,0
CUST_000152,32.0,377683.19,693.0,233,24551.96,1359.75,0.055,0,0.283,2,employed,premium,0,-0.65,0
CUST_000153,43.0,749294.17,596.0,120,79704.14,29453.91,0.37,1,0.183,0,employed,premium,1,20.0,0
CUST_000154,44.0,632917.98,551.0,106,26740.57,5980.89,0.224,0,0.082,1,retired,standard,1,37.45,0
CUST_000155,31.0,1470364.8,655.0,41,12782.24,3069.68,0.24,0,0.617,1,unemployed,standard,1,46.19,0
CUST_000156,62.0,333707.12,539.0,43,80279.95,25463.6,0.317,0,0.123,3,employed,premium,1,33.98,0
CUST_000157,46.0,431281.84,663.0,89,63435.0,16114.31,0.254,0,0.244,1,employed,standard,0,-17.02,0
CUST_000158,26.0,292438.58,747.0,60,47556.68,10822.26,0.228,1,0.151,2,employed,premium,0,17.82,0
CUST_000159,48.0,541387.78,774.0,143,61955.7,20846.9,0.336,1,0.203,2,employed,premium,1,24.54,0
CUST_000160,28.0,272827.58,732.0,131,51757.13,24121.8,0.466,1,0.02,2,self_employed,standard,1,35.99,0
CUST_000161,49.0,1018127.52,740.0,114,87711.49,19685.26,0.224,1,0.25,0,employed,student,0,7.3,0
CUST_000162,54.0,976282.03,661.0,100,33383.29,2809.74,0.084,0,0.479,2,employed,standard,1,52.75,0
CUST_000163,30.0,555801.01,635.0,25,116722.71,39365.96,0.337,1,0.321,0,retired,standard,0,5.24,0
CUST_000164,52.0,378444.68,710.0,187,78733.07,21376.15,0.272,0,0.36,1,employed,standard,1,38.29,0
CUST_000165,45.0,300785.86,728.0,61,36198.11,8629.67,0.238,0,0.288,3,employed,premium,0,6.91,0
CUST_000166,50.0,435069.44,704.0,35,33423.74,12114.58,0.362,0,0.017,1,employed,standard,1,7.14,0
CUST_000167,63.0,791287.87,680.0,42,52745.06,22819.84,0.433,1,0.302,2,employed,standard,1,22.46,0
CUST_000168,37.0,419083.85,603.0,28,27949.93,14915.29,0.534,2,0.142,0,employed,premium,0,-4.05,0
CUST_000169,31.0,1409660.25,559.0,111,44234.87,5427.94,0.123,0,0.161,1,employed,standard,1,22.31,0
CUST_000170,29.0,1168011.1,682.0,181,96083.61,2600.81,0.027,0,0.559,1,unemployed,standard,1,33.8,0
CUST_000171,30.0,597417.08,754.0,156,53704.2,29105.46,0.542,1,0.116,1,employed,premium,1,25.27,0
CUST_000172,39.0,485123.75,613.0,194,139686.19,30116.34,0.216,2,0.323,0,employed,premium,0,1.97,0
CUST_000173,44.0,462250.32,702.0,229,33357.43,6707.96,0.201,1,0.551,1,unemployed,student,0,0.12,0
CUST_000174,43.0,1226002.63,711.0,111,61462.46,21900.4,0.356,0,0.316,1,employed,standard,1,39.4,0
CUST_000175,50.0,444403.01,704.0,237,37564.22,4615.96,0.123,0,0.369,3,employed,premium,0,14.82,0
CUST_000176,40.0,909332.44,622.0,237,44199.8,19120.58,0.433,0,0.142,1,employed,student,1,34.86,0
CUST_000177,57.0,603080.82,577.0,136,62953.36,39150.02,0.622,0,0.129,2,employed,standard,1,20.15,0
CUST_000178,37.0,823322.28,623.0,176,33967.79,10559.1,0.311,0,0.158,0,retired,premium,1,16.46,0
CUST_000179,73.0,412842.41,686.0,186,31855.05,9112.39,0.286,0,0.278,0,employed,premium,1,32.52,0
CUST_000180,48.0,514106.97,636.0,41,38834.3,14194.78,0.366,1,0.096,1,employed,premium,1,18.61,0
CUST_000181,30.0,590732.08,668.0,232,37458.69,6491.77,0.173,1,0.061,1,employed,premium,1,22.09,0
CUST_000182,27.0,449497.25,665.0,186,29587.5,8570.49,0.29,0,0.136,0,employed,standard,1,24.0,0
CUST_000183,46.0,1047745.09,660.0,144,100944.06,5148.01,0.051,0,0.262,4,employed,student,1,40.23,0
CUST_000184,37.0,423395.22,689.0,66,42111.93,11993.53,0.285,3,0.284,2,employed,student,0,6.38,0
CUST_000185,49.0,460623.15,620.0,61,74240.64,4565.84,0.062,0,0.498,5,retired,student,0,10.8,0
CUST_000186,46.0,1100653.89,714.0,91,71626.75,19757.22,0.276,0,0.24,0,employed,premium,1,23.74,1
CUST_000187,39.0,1008744.71,620.0,125,81834.4,29192.26,0.357,0,0.348,1,employed,standard,0,17.09,0
CUST_000188,30.0,1220279.45,692.0,67,25136.26,11826.82,0.471,0,0.174,1,employed,standard,1,20.51,0
CUST_000189,22.0,253033.48,645.0,234,41161.39,15223.33,0.37,0,0.095,1,employed,standard,1,27.76,0
CUST_000190,35.0,653648.64,640.0,61,69107.37,17014.49,0.246,0,0.316,3,self_employed,standard,0,15.49,0
CUST_000191,50.0,621957.22,676.0,102,36037.78,9966.65,0.277,0,0.223,2,employed,standard,0,-11.96,0
CUST_000192,43.0,463805.33,667.0,132,103149.91,19153.99,0.186,1,0.176,1,employed,standard,0,9.43,0
CUST_000193,25.0,691077.14,691.0,145,26526.72,18263.96,0.689,2,0.238,0,retired,standard,0,-4.17,0
CUST_000194,42.0,516768.99,699.0,137,73882.27,33422.93,0.452,1,0.515,1,self_employed,premium,0,12.08,1
CUST_000195,45.0,642355.08,561.0,187,39213.24,4847.31,0.124,1,0.193,1,self_employed,standard,1,23.58,0
CUST_000196,29.0,2760283.65,702.0,66,82894.44,25935.98,0.313,1,0.375,2,employed,student,1,34.97,0
CUST_000197,42.0,688801.8,702.0,156,56094.22,7979.79,0.142,0,0.304,2,employed,standard,0,4.08,0
CUST_000198,41.0,701944.22,681.0,142,32121.32,11496.77,0.358,0,0.244,3,employed,standard,0,17.4,0
CUST_000199,26.0,864190.67,726.0,186,73862.23,20883.17,0.283,0,0.047,0,employed,premium,0,11.01,0
CUST_000200,44.0,647769.39,700.0,159,20657.48,1534.64,0.074,0,0.091,1,retired,standard,0,0.28,0
CUST_000201,47.0,364355.49,605.0,68,41194.55,11263.4,0.273,0,0.115,1,retired,premium,0,-0.19,0
CUST_000202,53.0,284639.78,773.0,16,39030.94,8236.87,0.211,1,0.159,3,retired,premium,1,30.09,1
CUST_000203,53.0,589375.64,707.0,219,60846.92,12778.97,0.21,1,0.101,3,retired,premium,0,-6.42,0
CUST_000204,23.0,529082.7,603.0,126,12787.24,4244.89,0.332,0,0.021,1,employed,standard,0,5.25,0
CUST_000205,29.0,246811.23,646.0,86,55083.98,6999.78,0.127,0,0.005,2,employed,premium,0,-1.31,0
CUST_000206,46.0,1243234.16,651.0,200,59062.88,10990.6,0.186,1,0.048,0,employed,standard,0,3.14,0
CUST_000207,46.0,626654.96,706.0,151,32953.92,12049.79,0.366,0,0.108,2,employed,premium,0,6.61,1
CUST_000208,46.0,1141377.43,727.0,156,42110.87,10073.19,0.239,1,0.253,2,employed,premium,0,8.43,0
CUST_000209,80.0,218745.01,689.0,171,49888.89,15890.16,0.319,0,0.098,2,self_employed,premium,0,12.08,0
CUST_000210,47.0,1151204.31,710.0,66,78677.16,36549.74,0.465,0,0.299,3,employed,premium,0,5.0,0
CUST_000211,54.0,480055.84,704.0,14,16606.31,8618.88,0.519,1,0.187,2,employed,student,1,26.37,0
CUST_000212,51.0,1052439.17,545.0,191,47637.09,32449.94,0.681,1,0.221,2,self_employed,premium,0,2.05,0
CUST_000213,48.0,657822.76,623.0,178,62310.05,4738.94,0.076,1,0.234,1,employed,student,0,25.69,0
CUST_000214,36.0,732314.58,535.0,50,67021.17,5606.48,0.084,1,0.245,2,unemployed,standard,0,9.92,1
CUST_000215,49.0,732730.08,633.0,16,43945.88,17676.69,0.402,0,0.114,2,employed,premium,0,-7.9,0
CUST_000216,31.0,493208.87,666.0,208,65307.89,31372.07,0.48,0,0.222,0,employed,standard,1,27.74,0
CUST_000217,37.0,446443.61,602.0,145,47250.38,8031.55,0.17,1,0.124,1,self_employed,standard,0,10.52,0
CUST_000218,34.0,507614.67,657.0,82,86112.92,13667.41,0.159,0,0.291,3,employed,student,1,37.5,0
CUST_000219,41.0,307934.03,703.0,160,32287.15,7612.38,0.236,1,0.163,0,employed,premium,1,21.17,0
CUST_000220,68.0,481027.81,692.0,48,35192.46,10136.08,0.288,1,0.322,0,employed,premium,0,5.98,0
CUST_000221,18.0,436456.44,650.0,6,61745.51,1963.76,0.032,2,0.244,2,retired,student,1,31.36,0
CUST_000222,48.0,304626.77,615.0,50,67721.56,12319.36,0.182,2,0.39,2,employed,standard,1,27.48,0
CUST_000223,21.0,734099.48,719.0,117,63016.51,4797.52,0.076,1,0.159,2,employed,standard,0,9.27,0
CUST_000224,34.0,599273.19,721.0,159,39622.7,24357.98,0.615,0,0.25,1,employed,standard,0,8.76,0
CUST_000225,53.0,667115.88,755.0,94,39935.26,14144.15,0.354,1,0.315,1,employed,standard,0,2.61,0
CUST_000226,41.0,817374.67,634.0,106,48724.81,22058.85,0.453,0,0.258,1,employed,standard,1,23.87,1
CUST_000227,27.0,536575.72,569.0,54,28257.64,13630.73,0.482,1,0.113,2,self_employed,standard,0,-4.32,0
CUST_000228,31.0,391436.12,705.0,21,32588.49,16039.07,0.492,1,0.027,0,self_employed,premium,1,19.32,0
CUST_000229,48.0,684725.91,566.0,179,101794.32,16557.44,0.163,1,0.278,1,self_employed,standard,1,25.04,1
CUST_000230,31.0,160333.54,677.0,68,45106.7,7941.3,0.176,1,0.153,2,employed,standard,1,12.57,0
CUST_000231,43.0,568841.55,612.0,183,37720.3,22860.49,0.606,0,0.223,0,employed,standard,0,2.83,0
CUST_000232,41.0,842665.94,671.0,81,36691.79,2631.64,0.072,0,0.479,2,unemployed,standard,1,48.63,0
CUST_000233,32.0,956576.81,594.0,232,56693.99,25760.46,0.454,0,0.287,2,retired,standard,1,30.77,0
CUST_000234,66.0,470593.79,641.0,186,140644.17,7409.67,0.053,1,0.207,1,self_employed,premium,1,27.63,0
